<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
14690;14355;14690
14691;14538;14691
14693;14570;14693
14695;14011;14695
14696;14371;14696
14697;14654;14654
14702;14475;14702
14703;14150;14703
14704;14061;14704
14717;14762;14717
14718;14762;14718
14722;14143;14722
14725;14333;14725
14727;14035;14727
14729;14654;14729
14730;14762;14730
14736;14118;14118
14746;14726;14746
14749;14431;14749
14750;14654;14750
14757;14200;14757
14763;14342;14763
15023;15108;15108
15031;15141;15031
15035;15141;15035
15039;15001;15001
15044;15138;15044
15047;15141;15047
15062;15003;15062
15068;15108;15068
15071;15181;15071
15099;15142;15099
15109;15153;15109
15115;15038;15115
15136;15027;15136
15145;15142;15145
15150;15268;15150
15171;15141;15171
15177;15153;15177
15193;15113;15113
15195;15108;15195
15197;15108;15197
15210;15202;15210
15227;15142;15227
15239;15153;15239
16004;16230;16004
16006;16242;16242
16017;16339;16017
16021;16175;16021
16022;16339;16339
16033;16023;16033
16043;16148;16043
16051;16339;16051
16080;16192;16192
16092;16082;16092
16094;16023;16094
16115;16046;16115
16126;16253;16126
16129;16204;16129
16149;16192;16149
16156;16286;16156
16159;16297;16297
16172;16082;16172
16179;16224;16179
16201;16175;16201
16202;16153;16202
16214;16192;16214
16219;16242;16242
16228;16339;16228
16235;16242;16242
16247;16204;16247
16257;16175;16257
16259;16192;16259
16262;16286;16262
16265;16046;16046
16266;16242;16242
16274;16406;16274
16278;16097;16278
16288;16192;16192
16294;16230;16294
16296;16300;16300
16299;16193;16193
16305;16073;16073
16309;16300;16300
16311;16230;16230
16313;16287;16313
16314;16230;16314
16319;16046;16046
16322;16106;16322
16324;16242;16242
16327;16028;16327
16328;16230;16328
16332;16046;16332
16333;16073;16073
16344;16281;16344
16367;16073;16073
16371;16286;16371
16376;16192;16376
16386;16204;16386
16391;16110;16391
16407;16198;16198
16410;16110;16410
16411;16005;16411
16417;16204;16417
17001;17397;17001
17014;17332;17332
17040;17277;17040
17088;17013;17013
17090;17240;17090
17103;17457;17103
17123;17397;17123
17144;17026;17144
17169;17344;17169
17170;17243;17243
17189;17219;17189
17238;17295;17295
17251;17282;17282
17272;17340;17272
17352;17457;17352
17368;17043;17043
17370;17454;17454
17371;17295;17295
17392;17160;17160
17399;17098;17098
17419;17024;17024
17456;17240;17456
17475;17474;17474
18123;18023;18123
18222;18073;18073
18239;18023;18239
19032;19019;19032
19127;19098;19127
19183;19010;19183
19185;19101;19185
19197;19275;19197
19218;19252;19218
19224;19034;19034
19267;19275;19267
19282;19123;19282
20001;2A001;2A001
20002;2B002;2B002
20003;2B003;2B003
20004;2A004;2A004
20005;2B005;2B005
20006;2A006;2A006
20007;2B007;2B007
20008;2A008;2A008
20009;2B009;2B009
20010;2B010;2B010
20011;2A011;2A011
20012;2B012;2B012
20013;2B013;2B013
20014;2A014;2A014
20015;2B015;2B015
20016;2B016;2B016
20017;2A017;2A017
20018;2A018;2A018
20019;2A019;2A019
20020;2B020;2B020
20021;2A021;2A021
20022;2A022;2A022
20023;2B023;2B023
20024;2A024;2A024
20025;2B025;2B025
20026;2A026;2A026
20027;2A027;2A027
20028;2A028;2A028
20029;2B029;2B029
20030;2B030;2B030
20031;2A031;2A031
20032;2A032;2A032
20033;2B033;2B033
20034;2B034;2B034
20035;2A035;2A035
20036;2B036;2B036
20037;2B037;2B037
20038;2A038;2A038
20039;2B039;2B039
20040;2A040;2A040
20041;2A041;2A041
20042;2B042;2B042
20043;2B043;2B043
20044;2B063;2B063
20045;2B045;2B045
20046;2B046;2B046
20047;2B047;2B047
20048;2A048;2A048
20049;2B049;2B049
20050;2B050;2B050
20051;2B051;2B051
20052;2B052;2B052
20053;2B053;2B053
20054;2B054;2B054
20055;2B055;2B055
20056;2A056;2A056
20057;2B057;2B057
20058;2B058;2B058
20059;2B059;2B059
20060;2A060;2A060
20061;2A061;2A061
20062;2A062;2A062
20063;2B063;2B063
20064;2A064;2A064
20065;2A065;2A065
20066;2A066;2A066
20067;2B067;2B067
20068;2B068;2B068
20069;2B069;2B069
20070;2A070;2A070
20071;2A071;2A071
20072;2B072;2B072
20073;2B073;2B073
20074;2B074;2B074
20075;2B075;2B075
20076;2B167;2B167
20077;2B077;2B077
20078;2B078;2B078
20079;2B079;2B079
20080;2B080;2B080
20081;2B081;2B081
20082;2B082;2B082
20083;2B083;2B083
20084;2B084;2B084
20085;2A085;2A085
20086;2B086;2B086
20087;2B087;2B087
20088;2B088;2B088
20089;2A089;2A089
20090;2A090;2A090
20091;2A091;2A091
20092;2A092;2A092
20093;2B093;2B093
20094;2A094;2A094
20095;2B095;2B095
20096;2B096;2B096
20097;2B097;2B097
20098;2A098;2A098
